<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2021.10.01	00:00:00	1.15740	1.15815	1.15740	1.15795	501	0	16
2021.10.01	01:00:00	1.15798	1.15819	1.15793	1.15804	534	0	7
2021.10.01	02:00:00	1.15807	1.15814	1.15730	1.15738	574	0	0
2021.10.01	03:00:00	1.15738	1.15772	1.15652	1.15652	2095	0	0
2021.10.01	04:00:00	1.15652	1.15758	1.15630	1.15757	3295	0	0
2021.10.01	05:00:00	1.15758	1.15793	1.15715	1.15774	1605	0	0
2021.10.01	06:00:00	1.15775	1.15788	1.15747	1.15758	1145	0	0
2021.10.01	07:00:00	1.15757	1.15821	1.15757	1.15806	1246	0	0
2021.10.01	08:00:00	1.15806	1.15806	1.15745	1.15771	1924	0	0
2021.10.01	09:00:00	1.15771	1.15889	1.15758	1.15879	4814	0	0
2021.10.01	10:00:00	1.15879	1.15912	1.15769	1.15788	4918	0	0
2021.10.01	11:00:00	1.15786	1.15820	1.15751	1.15786	3334	0	0
2021.10.01	12:00:00	1.15786	1.15840	1.15764	1.15795	2996	0	0
2021.10.01	13:00:00	1.15793	1.15878	1.15725	1.15828	2836	0	0
2021.10.01	14:00:00	1.15828	1.16032	1.15827	1.15977	3719	0	0
2021.10.01	15:00:00	1.15978	1.16070	1.15970	1.16038	5274	0	0
2021.10.01	16:00:00	1.16038	1.16075	1.15951	1.16029	5820	0	0
2021.10.01	17:00:00	1.16030	1.16034	1.15838	1.15963	8033	0	0
2021.10.01	18:00:00	1.15962	1.16038	1.15892	1.15970	4570	0	0
2021.10.01	19:00:00	1.15972	1.16024	1.15937	1.15968	3086	0	0
2021.10.01	20:00:00	1.15968	1.16004	1.15942	1.15996	1478	0	0
2021.10.01	21:00:00	1.15996	1.16025	1.15968	1.15970	1214	0	0
2021.10.01	22:00:00	1.15970	1.15989	1.15926	1.15982	1010	0	0
2021.10.01	23:00:00	1.15980	1.15989	1.15908	1.15927	756	0	1
2021.10.04	00:00:00	1.15922	1.15983	1.15922	1.15936	448	0	12
2021.10.04	01:00:00	1.15926	1.16109	1.15925	1.16070	1626	0	6
2021.10.04	02:00:00	1.16072	1.16110	1.16067	1.16068	808	0	0
2021.10.04	03:00:00	1.16068	1.16137	1.16020	1.16027	1814	0	0
2021.10.04	04:00:00	1.16027	1.16040	1.15940	1.15977	2046	0	0
2021.10.04	05:00:00	1.15977	1.16004	1.15944	1.15947	1453	0	0
2021.10.04	06:00:00	1.15947	1.15948	1.15876	1.15893	976	0	0
2021.10.04	07:00:00	1.15892	1.15966	1.15892	1.15958	883	0	0
2021.10.04	08:00:00	1.15959	1.15998	1.15957	1.15982	1222	0	0
2021.10.04	09:00:00	1.15978	1.16092	1.15962	1.16066	3033	0	0
2021.10.04	10:00:00	1.16066	1.16091	1.15997	1.16089	4756	0	0
2021.10.04	11:00:00	1.16089	1.16160	1.16055	1.16125	3242	0	0
2021.10.04	12:00:00	1.16126	1.16181	1.16085	1.16099	3129	0	0
2021.10.04	13:00:00	1.16099	1.16216	1.16079	1.16203	1963	0	0
2021.10.04	14:00:00	1.16203	1.16338	1.16187	1.16334	2815	0	0
2021.10.04	15:00:00	1.16334	1.16400	1.16314	1.16325	3401	0	0
2021.10.04	16:00:00	1.16325	1.16334	1.16240	1.16295	3894	0	0
2021.10.04	17:00:00	1.16294	1.16393	1.16218	1.16241	5815	0	0
2021.10.04	18:00:00	1.16240	1.16289	1.16152	1.16208	3662	0	0
2021.10.04	19:00:00	1.16207	1.16233	1.16158	1.16191	2226	0	0
2021.10.04	20:00:00	1.16191	1.16222	1.16161	1.16199	1674	0	0
2021.10.04	21:00:00	1.16200	1.16278	1.16185	1.16235	1787	0	0
2021.10.04	22:00:00	1.16235	1.16243	1.16169	1.16210	1492	0	0
2021.10.04	23:00:00	1.16209	1.16225	1.16179	1.16193	825	0	2
2021.10.05	00:00:00	1.16184	1.16195	1.16139	1.16167	388	0	15
2021.10.05	01:00:00	1.16169	1.16216	1.16157	1.16158	779	0	7
2021.10.05	02:00:00	1.16159	1.16185	1.16158	1.16161	577	0	0
2021.10.05	03:00:00	1.16160	1.16200	1.16105	1.16116	1893	0	0
2021.10.05	04:00:00	1.16116	1.16134	1.16028	1.16031	1936	0	0
2021.10.05	05:00:00	1.16031	1.16078	1.16023	1.16056	1190	0	0
2021.10.05	06:00:00	1.16056	1.16058	1.15983	1.15989	1054	0	0
2021.10.05	07:00:00	1.15989	1.15998	1.15943	1.15947	943	0	0
2021.10.05	08:00:00	1.15947	1.15988	1.15900	1.15943	1305	0	0
2021.10.05	09:00:00	1.15943	1.16021	1.15937	1.15989	2749	0	0
2021.10.05	10:00:00	1.15988	1.16051	1.15921	1.15975	4042	0	0
2021.10.05	11:00:00	1.15975	1.16045	1.15961	1.15987	2701	0	0
2021.10.05	12:00:00	1.15987	1.16033	1.15959	1.16033	2063	0	0
2021.10.05	13:00:00	1.16032	1.16033	1.15902	1.15944	2020	0	0
2021.10.05	14:00:00	1.15945	1.16053	1.15928	1.15979	2830	0	0
2021.10.05	15:00:00	1.15979	1.16055	1.15979	1.16002	3155	0	0
2021.10.05	16:00:00	1.16002	1.16014	1.15860	1.15954	5098	0	0
2021.10.05	17:00:00	1.15947	1.15953	1.15806	1.15922	5111	0	0
2021.10.05	18:00:00	1.15922	1.16131	1.15920	1.16087	3852	0	0
2021.10.05	19:00:00	1.16087	1.16124	1.16024	1.16051	2343	0	0
2021.10.05	20:00:00	1.16051	1.16072	1.16008	1.16051	1384	0	0
2021.10.05	21:00:00	1.16051	1.16083	1.15968	1.15971	1169	0	0
2021.10.05	22:00:00	1.15970	1.15984	1.15937	1.15965	1006	0	0
2021.10.05	23:00:00	1.15965	1.15990	1.15938	1.15972	945	0	0
2021.10.06	00:00:00	1.15959	1.16019	1.15930	1.15941	419	0	11
2021.10.06	01:00:00	1.15941	1.16002	1.15938	1.15979	860	0	6
2021.10.06	02:00:00	1.15986	1.15988	1.15944	1.15954	765	0	0
2021.10.06	03:00:00	1.15955	1.15978	1.15920	1.15936	1849	0	0
2021.10.06	04:00:00	1.15936	1.15966	1.15879	1.15910	2251	0	0
2021.10.06	05:00:00	1.15910	1.15946	1.15881	1.15933	1392	0	0
2021.10.06	06:00:00	1.15932	1.15943	1.15905	1.15936	864	0	0
2021.10.06	07:00:00	1.15937	1.15939	1.15833	1.15847	1121	0	0
2021.10.06	08:00:00	1.15847	1.15901	1.15817	1.15822	1622	0	0
2021.10.06	09:00:00	1.15822	1.15840	1.15756	1.15780	3073	0	0
2021.10.06	10:00:00	1.15778	1.15799	1.15562	1.15563	5331	0	0
2021.10.06	11:00:00	1.15562	1.15606	1.15510	1.15521	4066	0	0
2021.10.06	12:00:00	1.15521	1.15542	1.15414	1.15421	3719	0	0
2021.10.06	13:00:00	1.15421	1.15421	1.15292	1.15368	3549	0	0
2021.10.06	14:00:00	1.15368	1.15440	1.15357	1.15382	3497	0	0
2021.10.06	15:00:00	1.15381	1.15474	1.15367	1.15451	5198	0	0
2021.10.06	16:00:00	1.15451	1.15522	1.15391	1.15426	4802	0	0
2021.10.06	17:00:00	1.15426	1.15556	1.15352	1.15420	5996	0	0
2021.10.06	18:00:00	1.15422	1.15446	1.15325	1.15442	3547	0	0
2021.10.06	19:00:00	1.15443	1.15498	1.15417	1.15433	2166	0	0
2021.10.06	20:00:00	1.15433	1.15561	1.15433	1.15511	2373	0	0
2021.10.06	21:00:00	1.15512	1.15553	1.15488	1.15506	2619	0	0
